indicator,pitc_reduction_year,test_reduction,scenario,mean,median,upper_CI,lower_CI,future_variability,future_value
Adult_1st_line_FU,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
Adult_1st_line_FU,2025,0,baseline,242942920.70999998,242942920.70999998,243508106.17650002,242377735.24349996,test_reduction_only,0
Adult_1st_line_FU,2025,0,intervention,242942920.70999998,242942920.70999998,243508106.17650002,242377735.24349996,test_reduction_only,0
Adult_1st_line_FU,2025,0,percent_change,0,0,0,0,test_reduction_only,0
Adult_1st_line_FU,2025,25,absolute_dif,1979891.1400000006,1979891.1400000006,2187936.5609999932,1771845.719000008,test_reduction_only,0
Adult_1st_line_FU,2025,25,baseline,242942920.70999998,242942920.70999998,243508106.17650002,242377735.24349996,test_reduction_only,0
Adult_1st_line_FU,2025,25,intervention,244922811.85,244922811.85,245696042.73749998,244149580.9625,test_reduction_only,0
Adult_1st_line_FU,2025,25,percent_change,0.8147455858139896,0.8147455858139896,0.8984856663092217,0.7310055053187576,test_reduction_only,0
Adult_1st_line_FU,2025,50,absolute_dif,3963635.7900000066,3963635.7900000066,4447116.1835000105,3480155.3965000026,test_reduction_only,0
Adult_1st_line_FU,2025,50,baseline,242942920.70999998,242942920.70999998,243508106.17650002,242377735.24349996,test_reduction_only,0
Adult_1st_line_FU,2025,50,intervention,246906556.5,246906556.5,247955222.35999998,245857890.64,test_reduction_only,0
Adult_1st_line_FU,2025,50,percent_change,1.6310058562904817,1.6310058562904817,1.8262213349125616,1.435790377668402,test_reduction_only,0
Adult_1st_line_FU,2025,75,absolute_dif,5631349.390000001,5631349.390000001,6388881.223499994,4873817.556500007,test_reduction_only,0
Adult_1st_line_FU,2025,75,baseline,242942920.70999998,242942920.70999998,243508106.17650002,242377735.24349996,test_reduction_only,0
Adult_1st_line_FU,2025,75,intervention,248574270.1,248574270.1,249896987.39999998,247251552.8,test_reduction_only,0
Adult_1st_line_FU,2025,75,percent_change,2.3171823285315085,2.3171823285315085,2.6236063451569844,2.010758311906033,test_reduction_only,0
Adult_1st_line_FU,2025,100,absolute_dif,6618892.99000001,6618892.99000001,7504536.313500006,5733249.666500013,test_reduction_only,0
Adult_1st_line_FU,2025,100,baseline,242942920.70999998,242942920.70999998,243508106.17650002,242377735.24349996,test_reduction_only,0
Adult_1st_line_FU,2025,100,intervention,249561813.7,249561813.7,251012642.49,248110984.91,test_reduction_only,0
Adult_1st_line_FU,2025,100,percent_change,2.723540858730396,2.723540858730396,3.0817526822521337,2.365329035208658,test_reduction_only,0
AdultHIVtestsNeg,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
AdultHIVtestsNeg,2025,0,baseline,1181693800,1181693800,1295838105,1067549495,test_reduction_only,0
AdultHIVtestsNeg,2025,0,intervention,1181693800,1181693800,1295838105,1067549495,test_reduction_only,0
AdultHIVtestsNeg,2025,0,percent_change,0,0,0,0,test_reduction_only,0
AdultHIVtestsNeg,2025,25,absolute_dif,-335097600,-335097600,-297463729.99999994,-372731470.00000006,test_reduction_only,0
AdultHIVtestsNeg,2025,25,baseline,1181693800,1181693800,1295838105,1067549495,test_reduction_only,0
AdultHIVtestsNeg,2025,25,intervention,846596200,846596200,923106635,770085765,test_reduction_only,0
AdultHIVtestsNeg,2025,25,percent_change,-28.3092074321781,-28.3092074321781,-27.85896203649844,-28.759452827857753,test_reduction_only,0
AdultHIVtestsNeg,2025,50,absolute_dif,-603925890,-603925890,-535113970,-672737810.0000001,test_reduction_only,0
AdultHIVtestsNeg,2025,50,baseline,1181693800,1181693800,1295838105,1067549495,test_reduction_only,0
AdultHIVtestsNeg,2025,50,intervention,577767910,577767910,623100295,532435525,test_reduction_only,0
AdultHIVtestsNeg,2025,50,percent_change,-51.010921320224035,-51.010921320224035,-50.11510055980933,-51.90674208063874,test_reduction_only,0
AdultHIVtestsNeg,2025,75,absolute_dif,-807058010,-807058010,-713974625.5,-900141394.5,test_reduction_only,0
AdultHIVtestsNeg,2025,75,baseline,1181693800,1181693800,1295838105,1067549495,test_reduction_only,0
AdultHIVtestsNeg,2025,75,intervention,374635790,374635790,395696710.5,353574869.5,test_reduction_only,0
AdultHIVtestsNeg,2025,75,percent_change,-68.15827524708263,-68.15827524708263,-66.86482723887353,-69.45172325529172,test_reduction_only,0
AdultHIVtestsNeg,2025,100,absolute_dif,-946384625,-946384625,-837269235.25,-1055500014.75,test_reduction_only,0
AdultHIVtestsNeg,2025,100,baseline,1181693800,1181693800,1295838105,1067549495,test_reduction_only,0
AdultHIVtestsNeg,2025,100,intervention,235309175,235309175,240338090.25,230280259.75,test_reduction_only,0
AdultHIVtestsNeg,2025,100,percent_change,-79.9251350767583,-79.9251350767583,-78.41159579980491,-81.43867435371169,test_reduction_only,0
AdultHIVtestsPos,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
AdultHIVtestsPos,2025,0,baseline,7409462.25,7409462.25,7665053.2425,7153871.2575,test_reduction_only,0
AdultHIVtestsPos,2025,0,intervention,7409462.25,7409462.25,7665053.2425,7153871.2575,test_reduction_only,0
AdultHIVtestsPos,2025,0,percent_change,0,0,0,0,test_reduction_only,0
AdultHIVtestsPos,2025,25,absolute_dif,-608373.3999999999,-608373.3999999999,-598703.3500000003,-618043.4499999995,test_reduction_only,0
AdultHIVtestsPos,2025,25,baseline,7409462.25,7409462.25,7665053.2425,7153871.2575,test_reduction_only,0
AdultHIVtestsPos,2025,25,intervention,6801088.85,6801088.85,7066349.8925,6535827.8075,test_reduction_only,0
AdultHIVtestsPos,2025,25,percent_change,-8.226598045120163,-8.226598045120163,-7.812310306593554,-8.640885783646773,test_reduction_only,0
AdultHIVtestsPos,2025,50,absolute_dif,-1145672.5999999996,-1145672.5999999996,-1133028.48,-1158316.7199999993,test_reduction_only,0
AdultHIVtestsPos,2025,50,baseline,7409462.25,7409462.25,7665053.2425,7153871.2575,test_reduction_only,0
AdultHIVtestsPos,2025,50,intervention,6263789.65,6263789.65,6532024.7625,5995554.537500001,test_reduction_only,0
AdultHIVtestsPos,2025,50,percent_change,-15.489235398451424,-15.489235398451424,-14.784282613442457,-16.194188183460387,test_reduction_only,0
AdultHIVtestsPos,2025,75,absolute_dif,-1540026.7999999998,-1540026.7999999998,-1532609.7700000003,-1547443.8299999994,test_reduction_only,0
AdultHIVtestsPos,2025,75,baseline,7409462.25,7409462.25,7665053.2425,7153871.2575,test_reduction_only,0
AdultHIVtestsPos,2025,75,intervention,5869435.45,5869435.45,6132443.4725,5606427.4275,test_reduction_only,0
AdultHIVtestsPos,2025,75,percent_change,-20.815867275514258,-20.815867275514258,-19.997717324524643,-21.63401722650387,test_reduction_only,0
AdultHIVtestsPos,2025,100,absolute_dif,-1708981.65,-1708981.65,-1704026.4975000003,-1713936.8024999995,test_reduction_only,0
AdultHIVtestsPos,2025,100,baseline,7409462.25,7409462.25,7665053.2425,7153871.2575,test_reduction_only,0
AdultHIVtestsPos,2025,100,intervention,5700480.6,5700480.6,5961026.745,5439934.455,test_reduction_only,0
AdultHIVtestsPos,2025,100,percent_change,-23.09786398036591,-23.09786398036591,-22.234222191871513,-23.96150576886031,test_reduction_only,0
AIDS_Mortality,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
AIDS_Mortality,2025,0,baseline,0.2637574659793118,0.2637574659793118,0.2659839416986802,0.26153099025994336,test_reduction_only,0
AIDS_Mortality,2025,0,intervention,0.2637574659793118,0.2637574659793118,0.2659839416986802,0.26153099025994336,test_reduction_only,0
AIDS_Mortality,2025,0,percent_change,0,0,0,0,test_reduction_only,0
AIDS_Mortality,2025,25,absolute_dif,0.014125674224958085,0.014125674224958085,0.015276751183533383,0.012974597266382787,test_reduction_only,0
AIDS_Mortality,2025,25,baseline,0.2637574659793118,0.2637574659793118,0.2659839416986802,0.26153099025994336,test_reduction_only,0
AIDS_Mortality,2025,25,intervention,0.27788314020426985,0.27788314020426985,0.2812606928822136,0.27450558752632614,test_reduction_only,0
AIDS_Mortality,2025,25,percent_change,5.351894895523973,5.351894895523973,5.743132472200298,4.960657318847649,test_reduction_only,0
AIDS_Mortality,2025,50,absolute_dif,0.03384510062952856,0.03384510062952856,0.03705565932322279,0.030634541935834328,test_reduction_only,0
AIDS_Mortality,2025,50,baseline,0.2637574659793118,0.2637574659793118,0.2659839416986802,0.26153099025994336,test_reduction_only,0
AIDS_Mortality,2025,50,intervention,0.2976025666088403,0.2976025666088403,0.30303960102190297,0.29216553219577773,test_reduction_only,0
AIDS_Mortality,2025,50,percent_change,12.821529500388188,12.821529500388188,13.930537141804434,11.71252185897194,test_reduction_only,0
AIDS_Mortality,2025,75,absolute_dif,0.06082811739629734,0.06082811739629734,0.0677394888701699,0.05391674592242478,test_reduction_only,0
AIDS_Mortality,2025,75,baseline,0.2637574659793118,0.2637574659793118,0.2659839416986802,0.26153099025994336,test_reduction_only,0
AIDS_Mortality,2025,75,intervention,0.32458558337560917,0.32458558337560917,0.3337234305688501,0.31544773618236815,test_reduction_only,0
AIDS_Mortality,2025,75,percent_change,23.03945058998113,23.03945058998113,25.465316973271534,20.613584206690728,test_reduction_only,0
AIDS_Mortality,2025,100,absolute_dif,0.09414152218023117,0.09414152218023117,0.10695434127318634,0.081328703087276,test_reduction_only,0
AIDS_Mortality,2025,100,baseline,0.2637574659793118,0.2637574659793118,0.2659839416986802,0.26153099025994336,test_reduction_only,0
AIDS_Mortality,2025,100,intervention,0.35789898815954296,0.35789898815954296,0.3729382829718666,0.34285969334721933,test_reduction_only,0
AIDS_Mortality,2025,100,percent_change,35.64983589739422,35.64983589739422,40.20670563682664,31.092966157961804,test_reduction_only,0
ANCtestNeg,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
ANCtestNeg,2025,0,baseline,97760246.64250001,97760246.64250001,98007617.715825,97512875.569175,test_reduction_only,0
ANCtestNeg,2025,0,intervention,97760246.64250001,97760246.64250001,98007617.715825,97512875.569175,test_reduction_only,0
ANCtestNeg,2025,0,percent_change,0,0,0,0,test_reduction_only,0
ANCtestNeg,2025,25,absolute_dif,-337482.5075000003,-337482.5075000003,-330446.207575002,-344518.8074249986,test_reduction_only,0
ANCtestNeg,2025,25,baseline,97760246.64250001,97760246.64250001,98007617.715825,97512875.569175,test_reduction_only,0
ANCtestNeg,2025,25,intervention,97422764.135,97422764.135,97677171.50825,97168356.76175001,test_reduction_only,0
ANCtestNeg,2025,25,percent_change,-0.34523708928021135,-0.34523708928021135,-0.3371660001726716,-0.3533081783877511,test_reduction_only,0
ANCtestNeg,2025,50,absolute_dif,-765971.3775000051,-765971.3775000051,-738978.9975750011,-792963.757425009,test_reduction_only,0
ANCtestNeg,2025,50,baseline,97760246.64250001,97760246.64250001,98007617.715825,97512875.569175,test_reduction_only,0
ANCtestNeg,2025,50,intervention,96994275.265,96994275.265,97268638.71825,96719911.81175,test_reduction_only,0
ANCtestNeg,2025,50,percent_change,-0.7836032728327622,-0.7836032728327622,-0.7540096611703271,-0.8131968844951974,test_reduction_only,0
ANCtestNeg,2025,75,absolute_dif,-1293137.3825000003,-1293137.3825000003,-1227393.4718250025,-1358881.2931749981,test_reduction_only,0
ANCtestNeg,2025,75,baseline,97760246.64250001,97760246.64250001,98007617.715825,97512875.569175,test_reduction_only,0
ANCtestNeg,2025,75,intervention,96467109.26,96467109.26,96780224.24400002,96153994.276,test_reduction_only,0
ANCtestNeg,2025,75,percent_change,-1.3229619728753623,-1.3229619728753623,-1.2523642214607529,-1.3935597242899715,test_reduction_only,0
ANCtestNeg,2025,100,absolute_dif,-1892317.1025000066,-1892317.1025000066,-1768125.0593250075,-2016509.1456750056,test_reduction_only,0
ANCtestNeg,2025,100,baseline,97760246.64250001,97760246.64250001,98007617.715825,97512875.569175,test_reduction_only,0
ANCtestNeg,2025,100,intervention,95867929.53999999,95867929.53999999,96239492.65650001,95496366.42349999,test_reduction_only,0
ANCtestNeg,2025,100,percent_change,-1.936041283432245,-1.936041283432245,-1.8041049865144263,-2.0679775803500635,test_reduction_only,0
ANCtestPos,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
ANCtestPos,2025,0,baseline,1010173.3574999999,1010173.3574999999,1043138.930825,977207.7841749999,test_reduction_only,0
ANCtestPos,2025,0,intervention,1010173.3574999999,1010173.3574999999,1043138.930825,977207.7841749999,test_reduction_only,0
ANCtestPos,2025,0,percent_change,0,0,0,0,test_reduction_only,0
ANCtestPos,2025,25,absolute_dif,139082.5075,139082.5075,146384.8074250001,131780.20757499992,test_reduction_only,0
ANCtestPos,2025,25,baseline,1010173.3574999999,1010173.3574999999,1043138.930825,977207.7841749999,test_reduction_only,0
ANCtestPos,2025,25,intervention,1149255.865,1149255.865,1189523.7382500002,1108987.9917499998,test_reduction_only,0
ANCtestPos,2025,25,percent_change,13.758278351671077,13.758278351671077,14.032172388390645,13.48438431495151,test_reduction_only,0
ANCtestPos,2025,50,absolute_dif,336731.3775,336731.3775,358774.2574249999,314688.4975750001,test_reduction_only,0
ANCtestPos,2025,50,baseline,1010173.3574999999,1010173.3574999999,1043138.930825,977207.7841749999,test_reduction_only,0
ANCtestPos,2025,50,intervention,1346904.7349999999,1346904.7349999999,1401913.18825,1291896.28175,test_reduction_only,0
ANCtestPos,2025,50,percent_change,33.29440392670437,33.29440392670437,34.389977147206814,32.19883070620192,test_reduction_only,0
ANCtestPos,2025,75,absolute_dif,614102.3825000001,614102.3825000001,665126.043175,563078.721825,test_reduction_only,0
ANCtestPos,2025,75,baseline,1010173.3574999999,1010173.3574999999,1043138.930825,977207.7841749999,test_reduction_only,0
ANCtestPos,2025,75,intervention,1624275.74,1624275.74,1708264.974,1540286.506,test_reduction_only,0
ANCtestPos,2025,75,percent_change,60.68074616768327,60.68074616768327,63.75149680396059,57.60999553140595,test_reduction_only,0
ANCtestPos,2025,100,absolute_dif,972057.1024999998,972057.1024999998,1072879.1456749998,871235.0593249999,test_reduction_only,0
ANCtestPos,2025,100,baseline,1010173.3574999999,1010173.3574999999,1043138.930825,977207.7841749999,test_reduction_only,0
ANCtestPos,2025,100,intervention,1982230.46,1982230.46,2116018.0765,1848442.8434999997,test_reduction_only,0
ANCtestPos,2025,100,percent_change,95.97912456738194,95.97912456738194,102.82764952355973,89.13059961120416,test_reduction_only,0
ARTcoverageDiagF,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
ARTcoverageDiagF,2025,0,baseline,42.337169,42.337169,42.3402641,42.3340739,test_reduction_only,0
ARTcoverageDiagF,2025,0,intervention,42.337169,42.337169,42.3402641,42.3340739,test_reduction_only,0
ARTcoverageDiagF,2025,0,percent_change,0,0,0,0,test_reduction_only,0
ARTcoverageDiagF,2025,25,absolute_dif,-0.06569299999999956,-0.06569299999999956,-0.061310649999997045,-0.07007535000000206,test_reduction_only,0
ARTcoverageDiagF,2025,25,baseline,42.337169,42.337169,42.3402641,42.3340739,test_reduction_only,0
ARTcoverageDiagF,2025,25,intervention,42.271476,42.271476,42.27895345,42.26399855,test_reduction_only,0
ARTcoverageDiagF,2025,25,percent_change,-0.15516709531581696,-0.15516709531581696,-0.14480468167221783,-0.16552950895941612,test_reduction_only,0
ARTcoverageDiagF,2025,50,absolute_dif,-0.12927599999999728,-0.12927599999999728,-0.11834624999999761,-0.14020574999999696,test_reduction_only,0
ARTcoverageDiagF,2025,50,baseline,42.337169,42.337169,42.3402641,42.3340739,test_reduction_only,0
ARTcoverageDiagF,2025,50,intervention,42.207893,42.207893,42.22191785,42.19386815000001,test_reduction_only,0
ARTcoverageDiagF,2025,50,percent_change,-0.30535080443708085,-0.30535080443708085,-0.27951251347164613,-0.3311890954025155,test_reduction_only,0
ARTcoverageDiagF,2025,75,absolute_dif,-0.17832899999999796,-0.17832899999999796,-0.16033599999999737,-0.19632199999999855,test_reduction_only,0
ARTcoverageDiagF,2025,75,baseline,42.337169,42.337169,42.3402641,42.3340739,test_reduction_only,0
ARTcoverageDiagF,2025,75,intervention,42.15884,42.15884,42.1799281,42.137751900000005,test_reduction_only,0
ARTcoverageDiagF,2025,75,percent_change,-0.42121488699048054,-0.42121488699048054,-0.37868479476355854,-0.46374497921740254,test_reduction_only,0
ARTcoverageDiagF,2025,100,absolute_dif,-0.19868599999999859,-0.19868599999999859,-0.17770430000000043,-0.21966769999999675,test_reduction_only,0
ARTcoverageDiagF,2025,100,baseline,42.337169,42.337169,42.3402641,42.3340739,test_reduction_only,0
ARTcoverageDiagF,2025,100,intervention,42.138483,42.138483,42.1625598,42.114406200000005,test_reduction_only,0
ARTcoverageDiagF,2025,100,percent_change,-0.46929850405226325,-0.46929850405226325,-0.4197056149812035,-0.518891393123323,test_reduction_only,0
ARTcoverageDiagM,2025,0,absolute_dif,0,0,0,0,test_reduction_only,0
ARTcoverageDiagM,2025,0,baseline,36.955966000000004,36.955966000000004,37.02331435000001,36.88861764999999,test_reduction_only,0
ARTcoverageDiagM,2025,0,intervention,36.955966000000004,36.955966000000004,37.02331435000001,36.88861764999999,test_reduction_only,0
ARTcoverageDiagM,2025,0,percent_change,0,0,0,0,test_reduction_only,0
ARTcoverageDiagM,2025,25,absolute_dif,-0.21932649999999754,-0.21932649999999754,-0.19905492499999528,-0.2395980749999998,test_reduction_only,0
ARTcoverageDiagM,2025,25,baseline,36.955966000000004,36.955966000000004,37.02331435000001,36.88861764999999,test_reduction_only,0
ARTcoverageDiagM,2025,25,intervention,36.7366395,36.7366395,36.783716275,36.689562725,test_reduction_only,0
ARTcoverageDiagM,2025,25,percent_change,-0.5933720501215294,-0.5933720501215294,-0.5396000861715566,-0.6471440140715022,test_reduction_only,0
ARTcoverageDiagM,2025,50,absolute_dif,-0.4122130000000013,-0.4122130000000013,-0.3629735500000013,-0.46145245000000124,test_reduction_only,0
