indicator,pitc_reduction_year,test_reduction,scenario,discount,mean,median,upper_CI,lower_CI,future_variability,future_value,cumulative_years
AIDS_Mortality,2025,0,absolute_dif,undiscounted,-5.587255456531937e-4,-1.7129445607913518e-4,0.002290202755907521,-0.0039039135863944315,condom_reduction,7,50
AIDS_Mortality,2025,0,annual_absolute_dif,undiscounted,-5.587255456532059e-4,-1.7129445607917985e-4,0.002290202755907489,-0.0039039135863944384,condom_reduction,7,50
AIDS_Mortality,2025,0,annual_percent_change,undiscounted,-12.19067510865952,-3.5891612826329045,43.41152363739694,-80.28848143355388,condom_reduction,7,50
AIDS_Mortality,2025,0,baseline,undiscounted,0.2613685680746654,0.26368690886590224,0.27147074496244206,0.2496106560486607,condom_reduction,7,50
AIDS_Mortality,2025,0,intervention,undiscounted,0.26080984252901224,0.26203427350527064,0.2737609477183496,0.24583139014280883,condom_reduction,7,50
AIDS_Mortality,2025,0,percent_change,undiscounted,-0.23184558465867486,-0.06557392953179522,0.8428495674609808,-1.5477165663033492,condom_reduction,7,50
Circumcised15to49,2025,0,absolute_dif,undiscounted,-17.5297297,-17.526281500000003,-17.516011775000003,-17.541077850000004,condom_reduction,7,50
Circumcised15to49,2025,0,annual_absolute_dif,undiscounted,-17.5297297,-17.5262815,-17.516011775000003,-17.54107785,condom_reduction,7,50
Circumcised15to49,2025,0,annual_percent_change,undiscounted,-1963.57978679707,-1963.3839832884769,-1962.668368764394,-1964.6422927903805,condom_reduction,7,50
Circumcised15to49,2025,0,baseline,undiscounted,44.0568268,44.057190500000004,44.06985602499999,44.040161475000005,condom_reduction,7,50
Circumcised15to49,2025,0,intervention,undiscounted,26.5270971,26.5281905,26.535965100000002,26.520548124999998,condom_reduction,7,50
Circumcised15to49,2025,0,percent_change,undiscounted,-39.7889049806792,-39.786027234769726,-39.76878757987212,-39.809248801467874,condom_reduction,7,50
elimination_year,2025,0,absolute_dif,NA,Inf,Inf,Inf,Inf,condom_reduction,7,50
elimination_year,2025,0,annual_absolute_dif,NA,2021,2021,2021,2021,condom_reduction,7,50
elimination_year,2025,0,annual_percent_change,NA,2021,2021,2021,2021,condom_reduction,7,50
elimination_year,2025,0,baseline,NA,2055,2055,2057.775,2052,condom_reduction,7,50
elimination_year,2025,0,intervention,NA,Inf,Inf,Inf,Inf,condom_reduction,7,50
elimination_year,2025,0,percent_change,NA,Inf,Inf,Inf,Inf,condom_reduction,7,50
FemalesOver15,2025,0,absolute_dif,undiscounted,-865220,-891550,-305482.49999999994,-1313565,condom_reduction,7,50
FemalesOver15,2025,0,annual_absolute_dif,undiscounted,-865220,-891550,-305482.49999999994,-1313565,condom_reduction,7,50
FemalesOver15,2025,0,annual_percent_change,undiscounted,-2.8179635707893937,-2.90061099048644,-1.0623311144945329,-4.228005796950952,condom_reduction,7,50
FemalesOver15,2025,0,baseline,undiscounted,1475307280,1475277300,1477926610,1472284505,condom_reduction,7,50
FemalesOver15,2025,0,intervention,undiscounted,1474442060,1474389700,1477370972.5,1471419122.5,condom_reduction,7,50
FemalesOver15,2025,0,percent_change,undiscounted,-0.05865372977286203,-0.06044048269944353,-0.020695441010396633,-0.08909662585163622,condom_reduction,7,50
