year,modeled_scenario,indicator,mean,upper_CI,lower_CI,type,group
1985,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1985,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1985,Status quo,HIVinc15plus,1.1023796e-4,1.37763425e-4,7.62610075e-5,HIV incidence,15+ years
1985,Status quo,HIVinc15to49,1.3366182e-4,1.6696905e-4,9.240728e-5,HIV incidence,15-49 years
1985,Status quo,IncPrevRatio15plus,0.7609486,0.8070511,0.73139385,Incidence:Prevalence ratio,15+ years
1985,Status quo,IncPrevRatio15to49,0.7395769,0.7838744999999999,0.7114499000000001,Incidence:Prevalence ratio,15-49 years
1985,Status quo,NewAdultHIV,2170.57,2713.3372499999996,1501.6765,New HIV infections,15-49 years
1985,Status quo,NewHIV15to49,2091.931,2613.1065,1446.35275,New HIV infections,15+ years
1985,Status quo,Prev15plus,1.4567739e-4,1.856403e-4,9.47657475e-5,HIV prevalence,15+ years
1985,Status quo,Prev15to49,1.817201e-4,2.3157095e-4,1.18212025e-4,HIV prevalence,15-49 years
1985,Status quo,TotHIV15,2844.62,3624.9705,1850.4765,Total living with HIV,15+ years
1985,Status quo,TotHIV15to49,2844.62,3624.9705,1850.4765,Total living with HIV,15-49 years
1985,Status quo,Total15plus,19526800,19526800,19526800,Total population,15+ years
1985,Status quo,Total15to49,15653900,15653900,15653900,Total population,15-49 years
1986,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1986,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1986,Status quo,HIVinc15plus,4.134283e-4,5.11207825e-4,3.081211e-4,HIV incidence,15+ years
1986,Status quo,HIVinc15to49,5.001993e-4,6.182394250000001e-4,3.72498175e-4,HIV incidence,15-49 years
1986,Status quo,IncPrevRatio15plus,1.677774,1.86316575,1.550068,Incidence:Prevalence ratio,15+ years
1986,Status quo,IncPrevRatio15to49,1.653921,1.83677175,1.528553,Incidence:Prevalence ratio,15-49 years
1986,Status quo,NewAdultHIV,8341.719,10316.723,6217.23525,New HIV infections,15-49 years
1986,Status quo,NewHIV15to49,8020.844,9912.9105,5973.74575,New HIV infections,15+ years
1986,Status quo,Prev15plus,2.486594e-4,3.1425349999999997e-4,1.661933e-4,HIV prevalence,15+ years
1986,Status quo,Prev15to49,3.051795e-4,3.85658225e-4,2.038196e-4,HIV prevalence,15-49 years
1986,Status quo,TotHIV15,4983.293,6297.836500000001,3330.6135,Total living with HIV,15+ years
1986,Status quo,TotHIV15to49,4895.182,6186.0825,3269.34,Total living with HIV,15-49 years
1986,Status quo,Total15plus,20040700,20040700,20040700,Total population,15+ years
1986,Status quo,Total15to49,16040300,16040300,16040300,Total population,15-49 years
1987,Status quo,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1987,Status quo,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1987,Status quo,HIVinc15plus,0.0010520719,0.00127270875,8.40888475e-4,HIV incidence,15+ years
1987,Status quo,HIVinc15to49,0.0012756917,0.00154262425,0.001018748675,HIV incidence,15-49 years
1987,Status quo,IncPrevRatio15plus,1.649864,1.8416845,1.526808,Incidence:Prevalence ratio,15+ years
