year,modeled_scenario,Total15plus,Total15to49,indicator,mean,upper_CI,lower_CI,type,group
1985,Status quo,19526800,15653900,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1985,Status quo,19526800,15653900,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1985,Status quo,19526800,15653900,HIVinc15plus,1.1023796e-4,1.37763425e-4,7.62610075e-5,HIV incidence,15+ years
1985,Status quo,19526800,15653900,HIVinc15to49,1.3366182e-4,1.6696905e-4,9.240728e-5,HIV incidence,15-49 years
1985,Status quo,19526800,15653900,IncPrevRatio15plus,0.7609486,0.8070511,0.73139385,Incidence:Prevalence ratio,15+ years
1985,Status quo,19526800,15653900,IncPrevRatio15to49,0.7395769,0.7838744999999999,0.7114499000000001,Incidence:Prevalence ratio,15-49 years
1985,Status quo,19526800,15653900,NewAdultHIV,2170.57,2713.3372499999996,1501.6765,New HIV infections,15-49 years
1985,Status quo,19526800,15653900,NewHIV15to49,2091.931,2613.1065,1446.35275,New HIV infections,15+ years
1985,Status quo,19526800,15653900,Prev15plus,1.4567739e-4,1.856403e-4,9.47657475e-5,HIV prevalence,15+ years
1985,Status quo,19526800,15653900,Prev15to49,1.817201e-4,2.3157095e-4,1.18212025e-4,HIV prevalence,15-49 years
1985,Status quo,19526800,15653900,TotHIV15,2844.62,3624.9705,1850.4765,Total living with HIV,15+ years
1985,Status quo,19526800,15653900,TotHIV15to49,2844.62,3624.9705,1850.4765,Total living with HIV,15-49 years
1986,Status quo,20040700,16040300,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1986,Status quo,20040700,16040300,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1986,Status quo,20040700,16040300,HIVinc15plus,4.134283e-4,5.11207825e-4,3.081211e-4,HIV incidence,15+ years
1986,Status quo,20040700,16040300,HIVinc15to49,5.001993e-4,6.182394250000001e-4,3.72498175e-4,HIV incidence,15-49 years
1986,Status quo,20040700,16040300,IncPrevRatio15plus,1.677774,1.86316575,1.550068,Incidence:Prevalence ratio,15+ years
1986,Status quo,20040700,16040300,IncPrevRatio15to49,1.653921,1.83677175,1.528553,Incidence:Prevalence ratio,15-49 years
1986,Status quo,20040700,16040300,NewAdultHIV,8341.719,10316.723,6217.23525,New HIV infections,15-49 years
1986,Status quo,20040700,16040300,NewHIV15to49,8020.844,9912.9105,5973.74575,New HIV infections,15+ years
1986,Status quo,20040700,16040300,Prev15plus,2.486594e-4,3.1425349999999997e-4,1.661933e-4,HIV prevalence,15+ years
1986,Status quo,20040700,16040300,Prev15to49,3.051795e-4,3.85658225e-4,2.038196e-4,HIV prevalence,15-49 years
1986,Status quo,20040700,16040300,TotHIV15,4983.293,6297.836500000001,3330.6135,Total living with HIV,15+ years
1986,Status quo,20040700,16040300,TotHIV15to49,4895.182,6186.0825,3269.34,Total living with HIV,15-49 years
1987,Status quo,20569700,16438100,ARTcoverage15to49,0,0,0,ART coverage,15-49 years
1987,Status quo,20569700,16438100,ARTcoverageAdult,0,0,0,ART coverage,15+ years
1987,Status quo,20569700,16438100,HIVinc15plus,0.0010520719,0.00127270875,8.40888475e-4,HIV incidence,15+ years
1987,Status quo,20569700,16438100,HIVinc15to49,0.0012756917,0.00154262425,0.001018748675,HIV incidence,15-49 years
1987,Status quo,20569700,16438100,IncPrevRatio15plus,1.649864,1.8416845,1.526808,Incidence:Prevalence ratio,15+ years
1987,Status quo,20569700,16438100,IncPrevRatio15to49,1.652021,1.84495475,1.52841375,Incidence:Prevalence ratio,15-49 years
1987,Status quo,20569700,16438100,NewAdultHIV,21767.14,26335.4425,17398.5775,New HIV infections,15-49 years
1987,Status quo,20569700,16438100,NewHIV15to49,20953.35,25333.205,16736.84,New HIV infections,15+ years
1987,Status quo,20569700,16438100,Prev15plus,6.424424e-4,8.010310500000001e-4,4.60340125e-4,HIV prevalence,15+ years
1987,Status quo,20569700,16438100,Prev15to49,7.779271999999999e-4,9.696976e-4,5.56804125e-4,HIV prevalence,15-49 years
1987,Status quo,20569700,16438100,TotHIV15,13214.831,16476.947500000002,9469.04775,Total living with HIV,15+ years
1987,Status quo,20569700,16438100,TotHIV15to49,12787.661,15940.01,9152.80525,Total living with HIV,15-49 years
1988,Status quo,21117900,16852510,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1988,Status quo,21117900,16852510,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1988,Status quo,21117900,16852510,HIVinc15plus,0.002096141,NA,NA,HIV incidence,15+ years
1988,Status quo,21117900,16852510,HIVinc15to49,0.002549985,NA,NA,HIV incidence,15-49 years
1988,Status quo,21117900,16852510,IncPrevRatio15plus,1.282777,NA,NA,Incidence:Prevalence ratio,15+ years
1988,Status quo,21117900,16852510,IncPrevRatio15to49,1.293584,NA,NA,Incidence:Prevalence ratio,15-49 years
1988,Status quo,21117900,16852510,NewAdultHIV,44474.78,NA,NA,New HIV infections,15-49 years
1988,Status quo,21117900,16852510,NewHIV15to49,42887.45,NA,NA,New HIV infections,15+ years
1988,Status quo,21117900,16852510,Prev15plus,0.001641672,NA,NA,HIV prevalence,15+ years
1988,Status quo,21117900,16852510,Prev15to49,0.001979815,NA,NA,HIV prevalence,15-49 years
1988,Status quo,21117900,16852510,TotHIV15,34668.63,NA,NA,Total living with HIV,15+ years
1988,Status quo,21117900,16852510,TotHIV15to49,33364.86,NA,NA,Total living with HIV,15-49 years
1988,Status quo,21117900,16852577.5,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1988,Status quo,21117900,16852577.5,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
1988,Status quo,21117900,16852577.5,HIVinc15plus,NA,0.00245555725,NA,HIV incidence,15+ years
1988,Status quo,21117900,16852577.5,HIVinc15to49,NA,0.00298634,NA,HIV incidence,15-49 years
1988,Status quo,21117900,16852577.5,IncPrevRatio15plus,NA,1.4240455,NA,Incidence:Prevalence ratio,15+ years
1988,Status quo,21117900,16852577.5,IncPrevRatio15to49,NA,1.4363735,NA,Incidence:Prevalence ratio,15-49 years
1988,Status quo,21117900,16852577.5,NewAdultHIV,NA,52101.005000000005,NA,New HIV infections,15-49 years
1988,Status quo,21117900,16852577.5,NewHIV15to49,NA,50205.384999999995,NA,New HIV infections,15+ years
1988,Status quo,21117900,16852577.5,Prev15plus,NA,0.00200909174999999,NA,HIV prevalence,15+ years
1988,Status quo,21117900,16852577.5,Prev15to49,NA,0.00242185625,NA,HIV prevalence,15-49 years
1988,Status quo,21117900,16852577.5,TotHIV15,NA,42427.735,NA,Total living with HIV,15+ years
1988,Status quo,21117900,16852577.5,TotHIV15to49,NA,40814.335,NA,Total living with HIV,15-49 years
1988,Status quo,21117900,16852500,ARTcoverage15to49,NA,NA,0,ART coverage,15-49 years
1988,Status quo,21117900,16852500,ARTcoverageAdult,NA,NA,0,ART coverage,15+ years
1988,Status quo,21117900,16852500,HIVinc15plus,NA,NA,0.00177281275,HIV incidence,15+ years
1988,Status quo,21117900,16852500,HIVinc15to49,NA,NA,0.00215541925,HIV incidence,15-49 years
1988,Status quo,21117900,16852500,IncPrevRatio15plus,NA,NA,1.21010325,Incidence:Prevalence ratio,15+ years
1988,Status quo,21117900,16852500,IncPrevRatio15to49,NA,NA,1.2200272499999998,Incidence:Prevalence ratio,15-49 years
1988,Status quo,21117900,16852500,NewAdultHIV,NA,NA,37616.51,New HIV infections,15-49 years
1988,Status quo,21117900,16852500,NewHIV15to49,NA,NA,36267.545000000006,New HIV infections,15+ years
1988,Status quo,21117900,16852500,Prev15plus,NA,NA,0.00126183575,HIV prevalence,15+ years
1988,Status quo,21117900,16852500,Prev15to49,NA,NA,0.001520096,HIV prevalence,15-49 years
1988,Status quo,21117900,16852500,TotHIV15,NA,NA,26647.285000000003,Total living with HIV,15+ years
1988,Status quo,21117900,16852500,TotHIV15to49,NA,NA,25617.487500000003,Total living with HIV,15-49 years
1989,Status quo,21680740,17282460,ARTcoverage15to49,0,NA,NA,ART coverage,15-49 years
1989,Status quo,21680740,17282460,ARTcoverageAdult,0,NA,NA,ART coverage,15+ years
1989,Status quo,21680740,17282460,HIVinc15plus,0.003483876,NA,NA,HIV incidence,15+ years
1989,Status quo,21680740,17282460,HIVinc15to49,0.004253212,NA,NA,HIV incidence,15-49 years
1989,Status quo,21680740,17282460,IncPrevRatio15plus,0.964805,NA,NA,Incidence:Prevalence ratio,15+ years
1989,Status quo,21680740,17282460,IncPrevRatio15to49,0.9762722,NA,NA,Incidence:Prevalence ratio,15-49 years
1989,Status quo,21680740,17282460,NewAdultHIV,75759.37,NA,NA,New HIV infections,15-49 years
1989,Status quo,21680740,17282460,NewHIV15to49,73182.72,NA,NA,New HIV infections,15+ years
1989,Status quo,21680740,17282460,Prev15plus,0.003615574,NA,NA,HIV prevalence,15+ years
1989,Status quo,21680740,17282460,Prev15to49,0.004358859,NA,NA,HIV prevalence,15-49 years
1989,Status quo,21680740,17282460,TotHIV15,78388.24,NA,NA,Total living with HIV,15+ years
1989,Status quo,21680740,17282460,TotHIV15to49,75331.79,NA,NA,Total living with HIV,15-49 years
1989,Status quo,21680800,17282577.5,ARTcoverage15to49,NA,0,NA,ART coverage,15-49 years
1989,Status quo,21680800,17282577.5,ARTcoverageAdult,NA,0,NA,ART coverage,15+ years
