indicator,pitc_reduction_year,test_reduction,scenario,discount,mean,median,upper_CI,lower_CI,future_variability,future_value,cumulative_years
cost_total,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
cost_total,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
cost_total,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total,2025,0,baseline,3%,14501286324.681828,14522151202.016804,14979294502.11346,13766893254.41396,test_reduction_only,0,9
cost_total,2025,0,baseline,6%,12725205008.441628,12744074848.68441,13143783696.851805,12084055605.744516,test_reduction_only,0,9
cost_total,2025,0,baseline,undiscounted,16587031125.388449,16610221233.576254,17134903187.34202,15742825638.526276,test_reduction_only,0,9
cost_total,2025,0,intervention,3%,14501286324.681828,14522151202.016804,14979294502.11346,13766893254.41396,test_reduction_only,0,9
cost_total,2025,0,intervention,6%,12725205008.441628,12744074848.68441,13143783696.851805,12084055605.744516,test_reduction_only,0,9
cost_total,2025,0,intervention,undiscounted,16587031125.388449,16610221233.576254,17134903187.34202,15742825638.526276,test_reduction_only,0,9
cost_total,2025,0,percent_change,3%,0,0,0,0,test_reduction_only,0,9
cost_total,2025,0,percent_change,6%,0,0,0,0,test_reduction_only,0,9
cost_total,2025,0,percent_change,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total_care,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
cost_total_care,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
cost_total_care,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total_care,2025,0,baseline,3%,3735418904.1081467,3738639764.6431656,3850398495.743851,3544301730.3734164,test_reduction_only,0,9
cost_total_care,2025,0,baseline,6%,3280815831.172787,3283788875.488368,3381591853.9121547,3112809194.128151,test_reduction_only,0,9
cost_total_care,2025,0,baseline,undiscounted,4269040238.8372545,4272281351.86304,4400726465.134233,4050787530.2458296,test_reduction_only,0,9
cost_total_care,2025,0,intervention,3%,3735418904.1081467,3738639764.6431656,3850398495.743851,3544301730.3734164,test_reduction_only,0,9
cost_total_care,2025,0,intervention,6%,3280815831.172787,3283788875.488368,3381591853.9121547,3112809194.128151,test_reduction_only,0,9
cost_total_care,2025,0,intervention,undiscounted,4269040238.8372545,4272281351.86304,4400726465.134233,4050787530.2458296,test_reduction_only,0,9
cost_total_care,2025,0,percent_change,3%,0,0,0,0,test_reduction_only,0,9
cost_total_care,2025,0,percent_change,6%,0,0,0,0,test_reduction_only,0,9
cost_total_care,2025,0,percent_change,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total_testing,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
cost_total_testing,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
cost_total_testing,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total_testing,2025,0,baseline,3%,676235599.7853023,679429535.0715573,846645562.6086241,560212328.518243,test_reduction_only,0,9
cost_total_testing,2025,0,baseline,6%,591858317.8410441,594668917.2298114,740911041.7825073,490369244.0642178,test_reduction_only,0,9
cost_total_testing,2025,0,baseline,undiscounted,775492973.8644177,779136502.316474,971036124.5371562,642365477.1498617,test_reduction_only,0,9
cost_total_testing,2025,0,intervention,3%,676235599.7853023,679429535.0715573,846645562.6086241,560212328.518243,test_reduction_only,0,9
cost_total_testing,2025,0,intervention,6%,591858317.8410441,594668917.2298114,740911041.7825073,490369244.0642178,test_reduction_only,0,9
cost_total_testing,2025,0,intervention,undiscounted,775492973.8644177,779136502.316474,971036124.5371562,642365477.1498617,test_reduction_only,0,9
cost_total_testing,2025,0,percent_change,3%,0,0,0,0,test_reduction_only,0,9
cost_total_testing,2025,0,percent_change,6%,0,0,0,0,test_reduction_only,0,9
cost_total_testing,2025,0,percent_change,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total_treatment,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
cost_total_treatment,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
cost_total_treatment,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
cost_total_treatment,2025,0,baseline,3%,10089631820.788378,10106189773.967758,10367743662.53677,9601154922.360126,test_reduction_only,0,9
cost_total_treatment,2025,0,baseline,6%,8852530859.427795,8867129809.918453,9094652159.440989,8426470613.249484,test_reduction_only,0,9
cost_total_treatment,2025,0,baseline,undiscounted,11542497912.686777,11561510631.154926,11863247429.205538,10980514611.008331,test_reduction_only,0,9
cost_total_treatment,2025,0,intervention,3%,10089631820.788378,10106189773.967758,10367743662.53677,9601154922.360126,test_reduction_only,0,9
cost_total_treatment,2025,0,intervention,6%,8852530859.427795,8867129809.918453,9094652159.440989,8426470613.249484,test_reduction_only,0,9
cost_total_treatment,2025,0,intervention,undiscounted,11542497912.686777,11561510631.154926,11863247429.205538,10980514611.008331,test_reduction_only,0,9
cost_total_treatment,2025,0,percent_change,3%,0,0,0,0,test_reduction_only,0,9
cost_total_treatment,2025,0,percent_change,6%,0,0,0,0,test_reduction_only,0,9
cost_total_treatment,2025,0,percent_change,undiscounted,0,0,0,0,test_reduction_only,0,9
elimination_year,2025,0,absolute_dif,3%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,absolute_dif,6%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,absolute_dif,undiscounted,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,baseline,3%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,baseline,6%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,baseline,undiscounted,Inf,Inf,Inf,Inf,test_reduction_only,0,9
elimination_year,2025,0,intervention,3%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,intervention,6%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,intervention,undiscounted,Inf,Inf,Inf,Inf,test_reduction_only,0,9
elimination_year,2025,0,percent_change,3%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,percent_change,6%,NA,NA,NA,NA,test_reduction_only,0,9
elimination_year,2025,0,percent_change,undiscounted,NA,NA,NA,NA,test_reduction_only,0,9
NewAdultHIV,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
NewAdultHIV,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
NewAdultHIV,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
NewAdultHIV,2025,0,baseline,3%,1237777.6009305108,1241302.5365477074,1330749.273669934,1121456.9561606222,test_reduction_only,0,9
NewAdultHIV,2025,0,baseline,6%,1096139.0864857235,1099215.160154095,1178101.911253055,993007.3852025426,test_reduction_only,0,9
NewAdultHIV,2025,0,baseline,undiscounted,1403156.9236,1407265,1509028.825,1271426.025,test_reduction_only,0,9
NewAdultHIV,2025,0,intervention,3%,1237777.6009305108,1241302.5365477074,1330749.273669934,1121456.9561606222,test_reduction_only,0,9
NewAdultHIV,2025,0,intervention,6%,1096139.0864857235,1099215.160154095,1178101.911253055,993007.3852025426,test_reduction_only,0,9
NewAdultHIV,2025,0,intervention,undiscounted,1403156.9236,1407265,1509028.825,1271426.025,test_reduction_only,0,9
NewAdultHIV,2025,0,percent_change,3%,0,0,0,0,test_reduction_only,0,9
NewAdultHIV,2025,0,percent_change,6%,0,0,0,0,test_reduction_only,0,9
NewAdultHIV,2025,0,percent_change,undiscounted,0,0,0,0,test_reduction_only,0,9
percent_total_cost_testing,2025,0,absolute_dif,3%,NA,NA,NA,NA,test_reduction_only,0,9
percent_total_cost_testing,2025,0,absolute_dif,6%,NA,NA,NA,NA,test_reduction_only,0,9
percent_total_cost_testing,2025,0,absolute_dif,undiscounted,NA,NA,NA,NA,test_reduction_only,0,9
percent_total_cost_testing,2025,0,baseline,3%,4.661118181434018,4.638536845065255,5.74572859341635,3.94189321512167,test_reduction_only,0,9
percent_total_cost_testing,2025,0,baseline,6%,4.648887179747602,4.627069850500317,5.729269291102524,3.9323519862260388,test_reduction_only,0,9
percent_total_cost_testing,2025,0,baseline,undiscounted,4.673156729041695,4.6498350150886285,5.761916024865625,3.951277170221739,test_reduction_only,0,9
percent_total_cost_testing,2025,0,intervention,3%,4.661118181434018,4.638536845065255,5.74572859341635,3.94189321512167,test_reduction_only,0,9
percent_total_cost_testing,2025,0,intervention,6%,4.648887179747602,4.627069850500317,5.729269291102524,3.9323519862260388,test_reduction_only,0,9
percent_total_cost_testing,2025,0,intervention,undiscounted,4.673156729041695,4.6498350150886285,5.761916024865625,3.951277170221739,test_reduction_only,0,9
percent_total_cost_testing,2025,0,percent_change,3%,NA,NA,NA,NA,test_reduction_only,0,9
percent_total_cost_testing,2025,0,percent_change,6%,NA,NA,NA,NA,test_reduction_only,0,9
percent_total_cost_testing,2025,0,percent_change,undiscounted,NA,NA,NA,NA,test_reduction_only,0,9
TestsPerAdult,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
TestsPerAdult,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
TestsPerAdult,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
TestsPerAdult,2025,0,baseline,3%,3.5237551578312623,3.545836933354397,4.516714291840694,2.8430448569492444,test_reduction_only,0,9
TestsPerAdult,2025,0,baseline,6%,3.093852128162429,3.113229121646646,3.965425453832172,2.4963484307799098,test_reduction_only,0,9
TestsPerAdult,2025,0,baseline,undiscounted,4.028548055606317,4.0538062616084485,5.164065350259652,3.2501051483887693,test_reduction_only,0,9
TestsPerAdult,2025,0,intervention,3%,3.5237551578312623,3.545836933354397,4.516714291840694,2.8430448569492444,test_reduction_only,0,9
TestsPerAdult,2025,0,intervention,6%,3.093852128162429,3.113229121646646,3.965425453832172,2.4963484307799098,test_reduction_only,0,9
TestsPerAdult,2025,0,intervention,undiscounted,4.028548055606317,4.0538062616084485,5.164065350259652,3.2501051483887693,test_reduction_only,0,9
TestsPerAdult,2025,0,percent_change,3%,0,0,0,0,test_reduction_only,0,9
TestsPerAdult,2025,0,percent_change,6%,0,0,0,0,test_reduction_only,0,9
TestsPerAdult,2025,0,percent_change,undiscounted,0,0,0,0,test_reduction_only,0,9
TotalAIDSdeathsadult,2025,0,absolute_dif,3%,0,0,0,0,test_reduction_only,0,9
TotalAIDSdeathsadult,2025,0,absolute_dif,6%,0,0,0,0,test_reduction_only,0,9
TotalAIDSdeathsadult,2025,0,absolute_dif,undiscounted,0,0,0,0,test_reduction_only,0,9
TotalAIDSdeathsadult,2025,0,baseline,3%,382955.1722309511,383833.6306023968,405299.92638131964,358719.76578913804,test_reduction_only,0,9
TotalAIDSdeathsadult,2025,0,baseline,6%,336815.4043555301,337532.0015985191,356482.88135455886,315159.51846936997,test_reduction_only,0,9
