Male HIV prevalence in 2005		
0	0.049	0.024731473
1	0.042	0.013878548
2	0.016	0.00591797
3	0.032	0.013300479
4	0.060	0.013894022
5	0.121	0.024940364
6	0.233	0.034526620
7	0.233	0.030687092
8	0.175	0.032327967
9	0.103	0.023756064
10	0.142	0.035772037
11	0.064	0.038896216
Female HIV prevalence in 2005		
0	0.053	0.014450943
1	0.048	0.012878861
2	0.018	0.006108531
3	0.094	0.013390395
4	0.239	0.021998806
5	0.333	0.029965870
6	0.260	0.024062130
7	0.193	0.024729643
8	0.124	0.017244691
9	0.087	0.016509021
10	0.075	0.015843354
11	0.030	0.009607920
Male HIV prevalence in 2008		
0	0.058	0.021924643
1	0.03	0.008864641
2	0.013	0.006058809
3	0.025	0.013244959
4	0.051	0.012107889
5	0.157	0.026579509
6	0.258	0.037667271
7	0.185	0.034662832
8	0.192	0.035574062
9	0.084	0.020015666
10	0.104	0.024311931
11	0.062	0.019243760
Female HIV prevalence in 2008		
0	0.027	0.010335215
1	0.026	0.008186597
2	0.013	0.004866166
3	0.067	0.010202485
4	0.211	0.019353721
5	0.327	0.028929070
6	0.291	0.031215910
7	0.248	0.023488381
8	0.163	0.022141371
9	0.141	0.025013046
10	0.102	0.022671126
11	0.077	0.018780181
Combined prevalence in <2, in 2008		
0	0.021	0.005890802
Male HIV prevalence data in 2012
0	0.021	0.00531251
1	0.024	0.00442556
2	0.00	0.00
3	0.007	0.001962375
4	0.051	0.008302480
5	0.173	0.019813544
6	0.256	0.032232729
7	0.288	0.033317420
8	0.158	0.022890477
9	0.134	0.024111237
10	0.155	0.027668454
11	0.055	0.011911461
Female HIV prevalence in 2012
0	0.014	0.00392594
1	0.029	0.00423861
2	0.00	0.00
3	0.056	0.008291995
4	0.174	0.015293307
5	0.284	0.024330127
6	0.360	0.026880670
7	0.316	0.025302943
8	0.280	0.028382667
9	0.197	0.022713199
10	0.148	0.019316760
11	0.097	0.015909374
Male HIV prevalence data in 2016
1	0.042	0.016593500
2	0.026	0.008486700
3	0.102	0.024907700
4	0.274	0.044675300
5	0.224	0.048335000
6	0.319	0.049308400
7	0.264	0.055169800
8	0.119	0.028900500
9	0.176	0.049019400
Female HIV prevalence data in 2016
1	0.060	0.012026100
2	0.170	0.025940500
3	0.325	0.033013000
4	0.408	0.034445000
5	0.385	0.037372300
6	0.440	0.043164400
7	0.205	0.027462900
8	0.198	0.028205600
9	0.268	0.039606600
Male HIV prevalence data in 2017
0	0.025	0.00625876
1	0.024	0.00406158
2	0.00	0.00
3	0.047	0.00995056
4	0.048	0.00849780
5	0.124	0.01598307
6	0.184	0.02189706
7	0.237	0.02446698
8	0.224	0.02604607
9	0.248	0.03374467
10	0.202	0.02959050
11	0.148	0.02754455
Female HIV prevalence in 2017
0	0.039	0.00977778
1	0.025	0.00371427
2	0.00	0.00
3	0.058	0.00789243
4	0.156	0.01678487
5	0.275	0.02042601
6	0.347	0.02354136
7	0.394	0.02559386
8	0.359	0.02250646
9	0.303	0.02196803
10	0.222	0.02806442
11	0.176	0.02011788


