"intervention_year","year","parameter_set","indicator","scenario","value"
"2025",1985,1,"TotalHIVtests","intervention",11.4768
"2025",1985,1,"TotalHIVtests","baseline",11.4768
"2025",1985,1,"TotalHIVtests","percent_change",0
"2025",1985,1,"NewAdultHIV","intervention",2299.97
"2025",1985,1,"NewAdultHIV","baseline",2299.97
"2025",1985,1,"NewAdultHIV","percent_change",0
"2025",1985,1,"LYlostAIDS","intervention",1745.62
"2025",1985,1,"LYlostAIDS","baseline",1745.62
"2025",1985,1,"LYlostAIDS","percent_change",0
"2025",1985,1,"AIDSdeathsAdultM","intervention",1.31175
"2025",1985,1,"AIDSdeathsAdultM","baseline",1.31175
"2025",1985,1,"AIDSdeathsAdultM","percent_change",0
"2025",1985,1,"AIDSdeathsAdultF","intervention",1.35479
"2025",1985,1,"AIDSdeathsAdultF","baseline",1.35479
"2025",1985,1,"AIDSdeathsAdultF","percent_change",0
"2025",1985,1,"DiagnosedHIV_M","intervention",0
"2025",1985,1,"DiagnosedHIV_M","baseline",0
"2025",1985,1,"DiagnosedHIV_M","percent_change",NA
"2025",1985,1,"DiagnosedHIV_F","intervention",0
"2025",1985,1,"DiagnosedHIV_F","baseline",0
"2025",1985,1,"DiagnosedHIV_F","percent_change",NA
"2025",1985,1,"Number1stHIVtestsPos","intervention",10.6535
"2025",1985,1,"Number1stHIVtestsPos","baseline",10.6535
"2025",1985,1,"Number1stHIVtestsPos","percent_change",0
"2025",1985,1,"StartingARTtot","intervention",0
"2025",1985,1,"StartingARTtot","baseline",0
"2025",1985,1,"StartingARTtot","percent_change",NA
"2025",1985,1,"Prop1stHIVtestsPos","intervention",0.928269
"2025",1985,1,"Prop1stHIVtestsPos","baseline",0.928269
"2025",1985,1,"Prop1stHIVtestsPos","percent_change",0
"2025",1985,1,"NewDiagnosesPregnancy","intervention",0
"2025",1985,1,"NewDiagnosesPregnancy","baseline",0
"2025",1985,1,"NewDiagnosesPregnancy","percent_change",NA
"2025",1985,1,"TotalART15F","intervention",0
"2025",1985,1,"TotalART15F","baseline",0
"2025",1985,1,"TotalART15F","percent_change",NA
"2025",1985,1,"TotalART15M","intervention",0
"2025",1985,1,"TotalART15M","baseline",0
"2025",1985,1,"TotalART15M","percent_change",NA
"2025",1985,1,"RediagnosesPregnancy","intervention",0
"2025",1985,1,"RediagnosesPregnancy","baseline",0
"2025",1985,1,"RediagnosesPregnancy","percent_change",NA
"2025",1985,1,"TotANCtests","intervention",0
"2025",1985,1,"TotANCtests","baseline",0
"2025",1985,1,"TotANCtests","percent_change",NA
"2025",1985,1,"VLsuppressed","intervention",NA
"2025",1985,1,"VLsuppressed","baseline",NA
"2025",1985,1,"VLsuppressed","percent_change",NA
"2025",1985,1,"TotHIV15","intervention",3126.45
"2025",1985,1,"TotHIV15","baseline",3126.45
"2025",1985,1,"TotHIV15","percent_change",0
"2025",1985,1,"TotalAIDSdeathsadult","intervention",2.66654
"2025",1985,1,"TotalAIDSdeathsadult","baseline",2.66654
"2025",1985,1,"TotalAIDSdeathsadult","percent_change",0
"2025",1985,2,"TotalHIVtests","intervention",13.3231
"2025",1985,2,"TotalHIVtests","baseline",13.3231
"2025",1985,2,"TotalHIVtests","percent_change",0
"2025",1985,2,"NewAdultHIV","intervention",2734.89
"2025",1985,2,"NewAdultHIV","baseline",2734.89
"2025",1985,2,"NewAdultHIV","percent_change",0
"2025",1985,2,"LYlostAIDS","intervention",1744.66
"2025",1985,2,"LYlostAIDS","baseline",1744.66
"2025",1985,2,"LYlostAIDS","percent_change",0
"2025",1985,2,"AIDSdeathsAdultM","intervention",1.33662
"2025",1985,2,"AIDSdeathsAdultM","baseline",1.33662
"2025",1985,2,"AIDSdeathsAdultM","percent_change",0
"2025",1985,2,"AIDSdeathsAdultF","intervention",1.3812
"2025",1985,2,"AIDSdeathsAdultF","baseline",1.3812
"2025",1985,2,"AIDSdeathsAdultF","percent_change",0
"2025",1985,2,"DiagnosedHIV_M","intervention",0
"2025",1985,2,"DiagnosedHIV_M","baseline",0
"2025",1985,2,"DiagnosedHIV_M","percent_change",NA
"2025",1985,2,"DiagnosedHIV_F","intervention",0
"2025",1985,2,"DiagnosedHIV_F","baseline",0
"2025",1985,2,"DiagnosedHIV_F","percent_change",NA
"2025",1985,2,"Number1stHIVtestsPos","intervention",12.3545
"2025",1985,2,"Number1stHIVtestsPos","baseline",12.3545
"2025",1985,2,"Number1stHIVtestsPos","percent_change",0
"2025",1985,2,"StartingARTtot","intervention",0
"2025",1985,2,"StartingARTtot","baseline",0
"2025",1985,2,"StartingARTtot","percent_change",NA
"2025",1985,2,"Prop1stHIVtestsPos","intervention",0.927301
"2025",1985,2,"Prop1stHIVtestsPos","baseline",0.927301
"2025",1985,2,"Prop1stHIVtestsPos","percent_change",0
"2025",1985,2,"NewDiagnosesPregnancy","intervention",0
"2025",1985,2,"NewDiagnosesPregnancy","baseline",0
"2025",1985,2,"NewDiagnosesPregnancy","percent_change",NA
"2025",1985,2,"TotalART15F","intervention",0
"2025",1985,2,"TotalART15F","baseline",0
"2025",1985,2,"TotalART15F","percent_change",NA
"2025",1985,2,"TotalART15M","intervention",0
"2025",1985,2,"TotalART15M","baseline",0
"2025",1985,2,"TotalART15M","percent_change",NA
"2025",1985,2,"RediagnosesPregnancy","intervention",0
"2025",1985,2,"RediagnosesPregnancy","baseline",0
"2025",1985,2,"RediagnosesPregnancy","percent_change",NA
"2025",1985,2,"TotANCtests","intervention",0
"2025",1985,2,"TotANCtests","baseline",0
"2025",1985,2,"TotANCtests","percent_change",NA
"2025",1985,2,"VLsuppressed","intervention",NA
"2025",1985,2,"VLsuppressed","baseline",NA
"2025",1985,2,"VLsuppressed","percent_change",NA
"2025",1985,2,"TotHIV15","intervention",3654.9
"2025",1985,2,"TotHIV15","baseline",3654.9
"2025",1985,2,"TotHIV15","percent_change",0
"2025",1985,2,"TotalAIDSdeathsadult","intervention",2.71782
"2025",1985,2,"TotalAIDSdeathsadult","baseline",2.71782
"2025",1985,2,"TotalAIDSdeathsadult","percent_change",0
"2025",1986,1,"TotalHIVtests","intervention",35.0675
"2025",1986,1,"TotalHIVtests","baseline",35.0675
"2025",1986,1,"TotalHIVtests","percent_change",0
"2025",1986,1,"NewAdultHIV","intervention",8400.61
"2025",1986,1,"NewAdultHIV","baseline",8400.61
"2025",1986,1,"NewAdultHIV","percent_change",0
"2025",1986,1,"LYlostAIDS","intervention",7827.86
"2025",1986,1,"LYlostAIDS","baseline",7827.86
"2025",1986,1,"LYlostAIDS","percent_change",0
"2025",1986,1,"AIDSdeathsAdultM","intervention",12.2186
"2025",1986,1,"AIDSdeathsAdultM","baseline",12.2186
"2025",1986,1,"AIDSdeathsAdultM","percent_change",0
"2025",1986,1,"AIDSdeathsAdultF","intervention",11.672
"2025",1986,1,"AIDSdeathsAdultF","baseline",11.672
"2025",1986,1,"AIDSdeathsAdultF","percent_change",0
"2025",1986,1,"DiagnosedHIV_M","intervention",4.78146
"2025",1986,1,"DiagnosedHIV_M","baseline",4.78146
"2025",1986,1,"DiagnosedHIV_M","percent_change",0
"2025",1986,1,"DiagnosedHIV_F","intervention",5.80273
"2025",1986,1,"DiagnosedHIV_F","baseline",5.80273
"2025",1986,1,"DiagnosedHIV_F","percent_change",0
"2025",1986,1,"Number1stHIVtestsPos","intervention",29.4138
"2025",1986,1,"Number1stHIVtestsPos","baseline",29.4138
"2025",1986,1,"Number1stHIVtestsPos","percent_change",0
"2025",1986,1,"StartingARTtot","intervention",0
"2025",1986,1,"StartingARTtot","baseline",0
"2025",1986,1,"StartingARTtot","percent_change",NA
"2025",1986,1,"Prop1stHIVtestsPos","intervention",0.838777
"2025",1986,1,"Prop1stHIVtestsPos","baseline",0.838777
"2025",1986,1,"Prop1stHIVtestsPos","percent_change",0
"2025",1986,1,"NewDiagnosesPregnancy","intervention",0
"2025",1986,1,"NewDiagnosesPregnancy","baseline",0
"2025",1986,1,"NewDiagnosesPregnancy","percent_change",NA
"2025",1986,1,"TotalART15F","intervention",0
"2025",1986,1,"TotalART15F","baseline",0
"2025",1986,1,"TotalART15F","percent_change",NA
"2025",1986,1,"TotalART15M","intervention",0
"2025",1986,1,"TotalART15M","baseline",0
"2025",1986,1,"TotalART15M","percent_change",NA
