indicator,pitc_reduction_year,test_reduction,scenario,mean,upper_CI,lower_CI
NewAdultHIV,2025,0,absolute_dif,0,0,0
NewAdultHIV,2025,0,baseline,3788054.4000000004,3881135.2100000004,3694973.59
NewAdultHIV,2025,0,intervention,3788054.4000000004,3881135.2100000004,3694973.59
NewAdultHIV,2025,0,percent_change,0,0,0
NewAdultHIV,2025,100,absolute_dif,2575802.95,2849000.1975000002,2302605.7024999997
NewAdultHIV,2025,100,baseline,3788054.4000000004,3881135.2100000004,3694973.59
NewAdultHIV,2025,100,intervention,6363857.35,6730135.407500001,5997579.2924999995
NewAdultHIV,2025,100,percent_change,67.8470748678069,73.39199630958288,62.302153426030905
NewAdultHIV,2099,0,absolute_dif,0,0,0
NewAdultHIV,2099,0,baseline,18611.755,18664.114250000002,18559.39575
NewAdultHIV,2099,0,intervention,18611.755,18664.114250000002,18559.39575
NewAdultHIV,2099,0,percent_change,0,0,0
NewAdultHIV,2099,100,absolute_dif,345,349.4744999999992,340.5255000000008
NewAdultHIV,2099,100,baseline,18611.755,18664.114250000002,18559.39575
NewAdultHIV,2099,100,intervention,18956.755,19013.588750000003,18899.92125
NewAdultHIV,2099,100,percent_change,1.8536085263721769,1.8724351468475409,1.834781905896813
SWsexActs,2025,0,absolute_dif,0,0,0
SWsexActs,2025,0,baseline,8487000000,8487682100,8486317900
SWsexActs,2025,0,intervention,8487000000,8487682100,8486317900
SWsexActs,2025,0,percent_change,0,0,0
SWsexActs,2025,100,absolute_dif,-129001500,-114004325,-143998675
SWsexActs,2025,100,baseline,8487000000,8487682100,8486317900
SWsexActs,2025,100,intervention,8357998500,8372313575,8343683425
SWsexActs,2025,100,percent_change,-1.5199736701513646,-1.343388218759873,-1.6965591215428564
SWsexActs,2099,0,absolute_dif,0,0,0
SWsexActs,2099,0,baseline,405993000,406098450,405887550
SWsexActs,2099,0,intervention,405993000,406098450,405887550
SWsexActs,2099,0,percent_change,0,0,0
SWsexActs,2099,100,absolute_dif,-500,-24.99999999999991,-975.0000000000001
SWsexActs,2099,100,baseline,405993000,406098450,405887550
SWsexActs,2099,100,intervention,405992500,406097475,405887525
SWsexActs,2099,100,percent_change,-1.2312117093158403e-4,-6.1560585465791795e-6,-2.400862833165889e-4
SWsexActsProt,2025,0,absolute_dif,0,0,0
SWsexActsProt,2025,0,baseline,6864318750,6891822532.5,6836814967.5
SWsexActsProt,2025,0,intervention,6864318750,6891822532.5,6836814967.5
SWsexActsProt,2025,0,percent_change,0,0,0
SWsexActsProt,2025,100,absolute_dif,-104388600,-91849170,-116928030
SWsexActsProt,2025,100,baseline,6864318750,6891822532.5,6836814967.5
SWsexActsProt,2025,100,intervention,6759930150,6774894502.5,6744965797.5
SWsexActsProt,2025,100,percent_change,-1.5199583413406756,-1.343372952387008,-1.6965437302943436
SWsexActsProt,2099,0,absolute_dif,0,0,0
SWsexActsProt,2099,0,baseline,328369000,329743650,326994350
SWsexActsProt,2099,0,intervention,328369000,329743650,326994350
SWsexActsProt,2099,0,percent_change,0,0,0
SWsexActsProt,2099,100,absolute_dif,0,0,0
SWsexActsProt,2099,100,baseline,328369000,329743650,326994350
SWsexActsProt,2099,100,intervention,328369000,329743650,326994350
SWsexActsProt,2099,100,percent_change,0,0,0
TotalAIDSdeathsadult,2025,0,absolute_dif,0,0,0
TotalAIDSdeathsadult,2025,0,baseline,1745765.175,1759064.63825,1732465.71175
TotalAIDSdeathsadult,2025,0,intervention,1745765.175,1759064.63825,1732465.71175
TotalAIDSdeathsadult,2025,0,percent_change,0,0,0
TotalAIDSdeathsadult,2025,100,absolute_dif,843453.9750000001,956971.4842500001,729936.4657500001
TotalAIDSdeathsadult,2025,100,baseline,1745765.175,1759064.63825,1732465.71175
TotalAIDSdeathsadult,2025,100,intervention,2589219.1500000004,2716036.1225000005,2462402.1774999998
TotalAIDSdeathsadult,2025,100,percent_change,48.26250120493748,54.39728136737934,42.12772104249561
TotalAIDSdeathsadult,2099,0,absolute_dif,0,0,0
TotalAIDSdeathsadult,2099,0,baseline,10441.075,10778.225250000001,10103.92475
TotalAIDSdeathsadult,2099,0,intervention,10441.075,10778.225250000001,10103.92475
TotalAIDSdeathsadult,2099,0,percent_change,0,0,0
TotalAIDSdeathsadult,2099,100,absolute_dif,62.350000000000364,75.5359999999996,49.164000000001124
TotalAIDSdeathsadult,2099,100,baseline,10441.075,10778.225250000001,10103.92475
TotalAIDSdeathsadult,2099,100,intervention,10503.425000000001,10853.761250000001,10153.08875
TotalAIDSdeathsadult,2099,100,percent_change,0.5933276792489466,0.7004583554110488,0.48619700308684427
TotalHIVtests,2025,0,absolute_dif,0,0,0
TotalHIVtests,2025,0,baseline,1189103300,1303503345,1074703255
TotalHIVtests,2025,0,intervention,1189103300,1303503345,1074703255
TotalHIVtests,2025,0,percent_change,0,0,0
TotalHIVtests,2025,100,absolute_dif,-948093650,-838983043.5,-1057204256.5
