"intervention_year","year","parameter_set","scenario","indicator","value"
"2040",1985,1,"intervention","TotalHIVtests",11.4768
"2040",1985,1,"intervention","NewAdultHIV",2299.97
"2040",1985,1,"intervention","AIDSdeathsAdultM",1.31175
"2040",1985,1,"intervention","AIDSdeathsAdultF",1.35479
"2040",1985,1,"intervention","TotSexActs",293093000
"2040",1985,1,"intervention","SWsexActs",40858100
"2040",1985,1,"intervention","TotProtSexActs",8780310
"2040",1985,1,"intervention","SWsexActsProt",5958980
"2040",1985,1,"intervention","TotalAIDSdeathsadult",2.66654
"2040",1985,1,"intervention","CondomUsage",2.99574196586067
"2040",1985,1,"intervention","FSWCondomUsage",14.5845744173126
"2040",1985,1,"intervention","PctSexActsSW",13.9403192843227
"2040",1985,1,"intervention","PctProtSexActsSW",67.8675354287035
"2040",1985,1,"baseline","TotalHIVtests",11.4768
"2040",1985,1,"baseline","NewAdultHIV",2299.97
"2040",1985,1,"baseline","AIDSdeathsAdultM",1.31175
"2040",1985,1,"baseline","AIDSdeathsAdultF",1.35479
"2040",1985,1,"baseline","TotSexActs",293093000
"2040",1985,1,"baseline","SWsexActs",40858100
"2040",1985,1,"baseline","TotProtSexActs",8780310
"2040",1985,1,"baseline","SWsexActsProt",5958980
"2040",1985,1,"baseline","TotalAIDSdeathsadult",2.66654
"2040",1985,1,"baseline","CondomUsage",2.99574196586067
"2040",1985,1,"baseline","FSWCondomUsage",14.5845744173126
"2040",1985,1,"baseline","PctSexActsSW",13.9403192843227
"2040",1985,1,"baseline","PctProtSexActsSW",67.8675354287035
"2040",1985,2,"intervention","TotalHIVtests",13.3231
"2040",1985,2,"intervention","NewAdultHIV",2734.89
"2040",1985,2,"intervention","AIDSdeathsAdultM",1.33662
"2040",1985,2,"intervention","AIDSdeathsAdultF",1.3812
"2040",1985,2,"intervention","TotSexActs",284823000
"2040",1985,2,"intervention","SWsexActs",40858100
"2040",1985,2,"intervention","TotProtSexActs",8472890
"2040",1985,2,"intervention","SWsexActsProt",5814100
"2040",1985,2,"intervention","TotalAIDSdeathsadult",2.71782
"2040",1985,2,"intervention","CondomUsage",2.97479136165268
"2040",1985,2,"intervention","FSWCondomUsage",14.2299813256123
"2040",1985,2,"intervention","PctSexActsSW",14.3450844910699
"2040",1985,2,"intervention","PctProtSexActsSW",68.6200340143682
"2040",1985,2,"baseline","TotalHIVtests",13.3231
"2040",1985,2,"baseline","NewAdultHIV",2734.89
"2040",1985,2,"baseline","AIDSdeathsAdultM",1.33662
"2040",1985,2,"baseline","AIDSdeathsAdultF",1.3812
"2040",1985,2,"baseline","TotSexActs",284823000
"2040",1985,2,"baseline","SWsexActs",40858100
"2040",1985,2,"baseline","TotProtSexActs",8472890
"2040",1985,2,"baseline","SWsexActsProt",5814100
"2040",1985,2,"baseline","TotalAIDSdeathsadult",2.71782
"2040",1985,2,"baseline","CondomUsage",2.97479136165268
"2040",1985,2,"baseline","FSWCondomUsage",14.2299813256123
"2040",1985,2,"baseline","PctSexActsSW",14.3450844910699
"2040",1985,2,"baseline","PctProtSexActsSW",68.6200340143682
"2040",1986,1,"intervention","TotalHIVtests",35.0675
"2040",1986,1,"intervention","NewAdultHIV",8400.61
"2040",1986,1,"intervention","AIDSdeathsAdultM",12.2186
"2040",1986,1,"intervention","AIDSdeathsAdultF",11.672
"2040",1986,1,"intervention","TotSexActs",299068000
"2040",1986,1,"intervention","SWsexActs",40945800
"2040",1986,1,"intervention","TotProtSexActs",8870820
"2040",1986,1,"intervention","SWsexActsProt",5971780
