"intervention_year","year","parameter_set","scenario","indicator","value"
"2025",1985,1,"intervention","TotalHIVtests",11.4768
"2025",1985,1,"intervention","NewAdultHIV",2299.97
"2025",1985,1,"intervention","AIDSdeathsAdultM",1.31175
"2025",1985,1,"intervention","AIDSdeathsAdultF",1.35479
"2025",1985,1,"intervention","ARTcoverageAdult",0
"2025",1985,1,"intervention","TotalAIDSdeathsadult",2.66654
"2025",1985,1,"baseline","TotalHIVtests",11.4768
"2025",1985,1,"baseline","NewAdultHIV",2299.97
"2025",1985,1,"baseline","AIDSdeathsAdultM",1.31175
"2025",1985,1,"baseline","AIDSdeathsAdultF",1.35479
"2025",1985,1,"baseline","ARTcoverageAdult",0
"2025",1985,1,"baseline","TotalAIDSdeathsadult",2.66654
"2025",1985,2,"intervention","TotalHIVtests",13.3231
"2025",1985,2,"intervention","NewAdultHIV",2734.89
"2025",1985,2,"intervention","AIDSdeathsAdultM",1.33662
"2025",1985,2,"intervention","AIDSdeathsAdultF",1.3812
"2025",1985,2,"intervention","ARTcoverageAdult",0
"2025",1985,2,"intervention","TotalAIDSdeathsadult",2.71782
"2025",1985,2,"baseline","TotalHIVtests",13.3231
"2025",1985,2,"baseline","NewAdultHIV",2734.89
"2025",1985,2,"baseline","AIDSdeathsAdultM",1.33662
"2025",1985,2,"baseline","AIDSdeathsAdultF",1.3812
"2025",1985,2,"baseline","ARTcoverageAdult",0
"2025",1985,2,"baseline","TotalAIDSdeathsadult",2.71782
"2025",1986,1,"intervention","TotalHIVtests",35.0675
"2025",1986,1,"intervention","NewAdultHIV",8400.61
"2025",1986,1,"intervention","AIDSdeathsAdultM",12.2186
"2025",1986,1,"intervention","AIDSdeathsAdultF",11.672
"2025",1986,1,"intervention","ARTcoverageAdult",0
"2025",1986,1,"intervention","TotalAIDSdeathsadult",23.8906
"2025",1986,1,"baseline","TotalHIVtests",35.0675
"2025",1986,1,"baseline","NewAdultHIV",8400.61
"2025",1986,1,"baseline","AIDSdeathsAdultM",12.2186
"2025",1986,1,"baseline","AIDSdeathsAdultF",11.672
"2025",1986,1,"baseline","ARTcoverageAdult",0
"2025",1986,1,"baseline","TotalAIDSdeathsadult",23.8906
"2025",1986,2,"intervention","TotalHIVtests",41.1358
"2025",1986,2,"intervention","NewAdultHIV",10436.9
"2025",1986,2,"intervention","AIDSdeathsAdultM",12.4572
"2025",1986,2,"intervention","AIDSdeathsAdultF",11.8916
"2025",1986,2,"intervention","ARTcoverageAdult",0
"2025",1986,2,"intervention","TotalAIDSdeathsadult",24.3488
"2025",1986,2,"baseline","TotalHIVtests",41.1358
"2025",1986,2,"baseline","NewAdultHIV",10436.9
"2025",1986,2,"baseline","AIDSdeathsAdultM",12.4572
"2025",1986,2,"baseline","AIDSdeathsAdultF",11.8916
"2025",1986,2,"baseline","ARTcoverageAdult",0
"2025",1986,2,"baseline","TotalAIDSdeathsadult",24.3488
"2025",1987,1,"intervention","TotalHIVtests",98.9796
"2025",1987,1,"intervention","NewAdultHIV",20992.4
"2025",1987,1,"intervention","AIDSdeathsAdultM",49.177
"2025",1987,1,"intervention","AIDSdeathsAdultF",40.6038
"2025",1987,1,"intervention","ARTcoverageAdult",0
"2025",1987,1,"intervention","TotalAIDSdeathsadult",89.7808
"2025",1987,1,"baseline","TotalHIVtests",98.9796
"2025",1987,1,"baseline","NewAdultHIV",20992.4
"2025",1987,1,"baseline","AIDSdeathsAdultM",49.177
"2025",1987,1,"baseline","AIDSdeathsAdultF",40.6038
"2025",1987,1,"baseline","ARTcoverageAdult",0
"2025",1987,1,"baseline","TotalAIDSdeathsadult",89.7808
"2025",1987,2,"intervention","TotalHIVtests",118.733
"2025",1987,2,"intervention","NewAdultHIV",26680.3
"2025",1987,2,"intervention","AIDSdeathsAdultM",50.8951
"2025",1987,2,"intervention","AIDSdeathsAdultF",41.6065
"2025",1987,2,"intervention","ARTcoverageAdult",0
"2025",1987,2,"intervention","TotalAIDSdeathsadult",92.5016
"2025",1987,2,"baseline","TotalHIVtests",118.733
"2025",1987,2,"baseline","NewAdultHIV",26680.3
"2025",1987,2,"baseline","AIDSdeathsAdultM",50.8951
"2025",1987,2,"baseline","AIDSdeathsAdultF",41.6065
"2025",1987,2,"baseline","ARTcoverageAdult",0
"2025",1987,2,"baseline","TotalAIDSdeathsadult",92.5016
"2025",1988,1,"intervention","TotalHIVtests",246.951
"2025",1988,1,"intervention","NewAdultHIV",41866.3
"2025",1988,1,"intervention","AIDSdeathsAdultM",154.528
"2025",1988,1,"intervention","AIDSdeathsAdultF",111.001
"2025",1988,1,"intervention","ARTcoverageAdult",0
"2025",1988,1,"intervention","TotalAIDSdeathsadult",265.529
"2025",1988,1,"baseline","TotalHIVtests",246.951
"2025",1988,1,"baseline","NewAdultHIV",41866.3
"2025",1988,1,"baseline","AIDSdeathsAdultM",154.528
"2025",1988,1,"baseline","AIDSdeathsAdultF",111.001
"2025",1988,1,"baseline","ARTcoverageAdult",0
"2025",1988,1,"baseline","TotalAIDSdeathsadult",265.529
"2025",1988,2,"intervention","TotalHIVtests",300.041
"2025",1988,2,"intervention","NewAdultHIV",52708.1
"2025",1988,2,"intervention","AIDSdeathsAdultM",164.042
"2025",1988,2,"intervention","AIDSdeathsAdultF",115.021
"2025",1988,2,"intervention","ARTcoverageAdult",0
"2025",1988,2,"intervention","TotalAIDSdeathsadult",279.063
"2025",1988,2,"baseline","TotalHIVtests",300.041
"2025",1988,2,"baseline","NewAdultHIV",52708.1
"2025",1988,2,"baseline","AIDSdeathsAdultM",164.042
"2025",1988,2,"baseline","AIDSdeathsAdultF",115.021
"2025",1988,2,"baseline","ARTcoverageAdult",0
"2025",1988,2,"baseline","TotalAIDSdeathsadult",279.063
"2025",1989,1,"intervention","TotalHIVtests",543.002
"2025",1989,1,"intervention","NewAdultHIV",70972.4
"2025",1989,1,"intervention","AIDSdeathsAdultM",415.693
"2025",1989,1,"intervention","AIDSdeathsAdultF",276.467
"2025",1989,1,"intervention","ARTcoverageAdult",0
"2025",1989,1,"intervention","TotalAIDSdeathsadult",692.16
"2025",1989,1,"baseline","TotalHIVtests",543.002
"2025",1989,1,"baseline","NewAdultHIV",70972.4
"2025",1989,1,"baseline","AIDSdeathsAdultM",415.693
"2025",1989,1,"baseline","AIDSdeathsAdultF",276.467
"2025",1989,1,"baseline","ARTcoverageAdult",0
"2025",1989,1,"baseline","TotalAIDSdeathsadult",692.16
"2025",1989,2,"intervention","TotalHIVtests",658.718
"2025",1989,2,"intervention","NewAdultHIV",86241.7
"2025",1989,2,"intervention","AIDSdeathsAdultM",451.717
"2025",1989,2,"intervention","AIDSdeathsAdultF",289.9
"2025",1989,2,"intervention","ARTcoverageAdult",0
"2025",1989,2,"intervention","TotalAIDSdeathsadult",741.617
"2025",1989,2,"baseline","TotalHIVtests",658.718
"2025",1989,2,"baseline","NewAdultHIV",86241.7
"2025",1989,2,"baseline","AIDSdeathsAdultM",451.717
"2025",1989,2,"baseline","AIDSdeathsAdultF",289.9
"2025",1989,2,"baseline","ARTcoverageAdult",0
"2025",1989,2,"baseline","TotalAIDSdeathsadult",741.617
"2025",1990,1,"intervention","TotalHIVtests",1072.18
"2025",1990,1,"intervention","NewAdultHIV",107794
"2025",1990,1,"intervention","AIDSdeathsAdultM",971.649
"2025",1990,1,"intervention","AIDSdeathsAdultF",636.17
"2025",1990,1,"intervention","ARTcoverageAdult",0
"2025",1990,1,"intervention","TotalAIDSdeathsadult",1607.819
"2025",1990,1,"baseline","TotalHIVtests",1072.18
"2025",1990,1,"baseline","NewAdultHIV",107794
"2025",1990,1,"baseline","AIDSdeathsAdultM",971.649
"2025",1990,1,"baseline","AIDSdeathsAdultF",636.17
"2025",1990,1,"baseline","ARTcoverageAdult",0
"2025",1990,1,"baseline","TotalAIDSdeathsadult",1607.819
"2025",1990,2,"intervention","TotalHIVtests",1284.41
"2025",1990,2,"intervention","NewAdultHIV",125021
"2025",1990,2,"intervention","AIDSdeathsAdultM",1070.41
"2025",1990,2,"intervention","AIDSdeathsAdultF",671.574
"2025",1990,2,"intervention","ARTcoverageAdult",0
"2025",1990,2,"intervention","TotalAIDSdeathsadult",1741.984
"2025",1990,2,"baseline","TotalHIVtests",1284.41
"2025",1990,2,"baseline","NewAdultHIV",125021
"2025",1990,2,"baseline","AIDSdeathsAdultM",1070.41
"2025",1990,2,"baseline","AIDSdeathsAdultF",671.574
"2025",1990,2,"baseline","ARTcoverageAdult",0
"2025",1990,2,"baseline","TotalAIDSdeathsadult",1741.984
"2025",1991,1,"intervention","TotalHIVtests",126787
"2025",1991,1,"intervention","NewAdultHIV",153796
"2025",1991,1,"intervention","AIDSdeathsAdultM",2002.24
"2025",1991,1,"intervention","AIDSdeathsAdultF",1356.14
"2025",1991,1,"intervention","ARTcoverageAdult",0
"2025",1991,1,"intervention","TotalAIDSdeathsadult",3358.38
"2025",1991,1,"baseline","TotalHIVtests",126787
"2025",1991,1,"baseline","NewAdultHIV",153796
"2025",1991,1,"baseline","AIDSdeathsAdultM",2002.24
"2025",1991,1,"baseline","AIDSdeathsAdultF",1356.14
"2025",1991,1,"baseline","ARTcoverageAdult",0
"2025",1991,1,"baseline","TotalAIDSdeathsadult",3358.38
"2025",1991,2,"intervention","TotalHIVtests",126589
"2025",1991,2,"intervention","NewAdultHIV",170423
"2025",1991,2,"intervention","AIDSdeathsAdultM",2212.37
"2025",1991,2,"intervention","AIDSdeathsAdultF",1431.09
"2025",1991,2,"intervention","ARTcoverageAdult",0
"2025",1991,2,"intervention","TotalAIDSdeathsadult",3643.46
"2025",1991,2,"baseline","TotalHIVtests",126589
"2025",1991,2,"baseline","NewAdultHIV",170423
"2025",1991,2,"baseline","AIDSdeathsAdultM",2212.37
"2025",1991,2,"baseline","AIDSdeathsAdultF",1431.09
"2025",1991,2,"baseline","ARTcoverageAdult",0
"2025",1991,2,"baseline","TotalAIDSdeathsadult",3643.46
"2025",1992,1,"intervention","TotalHIVtests",253789
"2025",1992,1,"intervention","NewAdultHIV",208215
"2025",1992,1,"intervention","AIDSdeathsAdultM",3749.29
"2025",1992,1,"intervention","AIDSdeathsAdultF",2658.89
"2025",1992,1,"intervention","ARTcoverageAdult",0
"2025",1992,1,"intervention","TotalAIDSdeathsadult",6408.18
"2025",1992,1,"baseline","TotalHIVtests",253789
"2025",1992,1,"baseline","NewAdultHIV",208215
"2025",1992,1,"baseline","AIDSdeathsAdultM",3749.29
"2025",1992,1,"baseline","AIDSdeathsAdultF",2658.89
"2025",1992,1,"baseline","ARTcoverageAdult",0
"2025",1992,1,"baseline","TotalAIDSdeathsadult",6408.18
"2025",1992,2,"intervention","TotalHIVtests",253068
"2025",1992,2,"intervention","NewAdultHIV",222238
"2025",1992,2,"intervention","AIDSdeathsAdultM",4119.68
"2025",1992,2,"intervention","AIDSdeathsAdultF",2787.59
"2025",1992,2,"intervention","ARTcoverageAdult",0
"2025",1992,2,"intervention","TotalAIDSdeathsadult",6907.27
"2025",1992,2,"baseline","TotalHIVtests",253068
"2025",1992,2,"baseline","NewAdultHIV",222238
"2025",1992,2,"baseline","AIDSdeathsAdultM",4119.68
"2025",1992,2,"baseline","AIDSdeathsAdultF",2787.59
"2025",1992,2,"baseline","ARTcoverageAdult",0
"2025",1992,2,"baseline","TotalAIDSdeathsadult",6907.27
"2025",1993,1,"intervention","TotalHIVtests",381111
"2025",1993,1,"intervention","NewAdultHIV",266297
"2025",1993,1,"intervention","AIDSdeathsAdultM",6429.37
"2025",1993,1,"intervention","AIDSdeathsAdultF",4824.08
"2025",1993,1,"intervention","ARTcoverageAdult",0
"2025",1993,1,"intervention","TotalAIDSdeathsadult",11253.45
"2025",1993,1,"baseline","TotalHIVtests",381111
"2025",1993,1,"baseline","NewAdultHIV",266297
"2025",1993,1,"baseline","AIDSdeathsAdultM",6429.37
"2025",1993,1,"baseline","AIDSdeathsAdultF",4824.08
"2025",1993,1,"baseline","ARTcoverageAdult",0
"2025",1993,1,"baseline","TotalAIDSdeathsadult",11253.45
"2025",1993,2,"intervention","TotalHIVtests",379657
"2025",1993,2,"intervention","NewAdultHIV",276332
"2025",1993,2,"intervention","AIDSdeathsAdultM",6982.23
"2025",1993,2,"intervention","AIDSdeathsAdultF",5002.58
"2025",1993,2,"intervention","ARTcoverageAdult",0
"2025",1993,2,"intervention","TotalAIDSdeathsadult",11984.81
"2025",1993,2,"baseline","TotalHIVtests",379657
"2025",1993,2,"baseline","NewAdultHIV",276332
"2025",1993,2,"baseline","AIDSdeathsAdultM",6982.23
"2025",1993,2,"baseline","AIDSdeathsAdultF",5002.58
"2025",1993,2,"baseline","ARTcoverageAdult",0
"2025",1993,2,"baseline","TotalAIDSdeathsadult",11984.81
"2025",1994,1,"intervention","TotalHIVtests",508580
"2025",1994,1,"intervention","NewAdultHIV",322956
"2025",1994,1,"intervention","AIDSdeathsAdultM",10254.8
"2025",1994,1,"intervention","AIDSdeathsAdultF",8178.76
"2025",1994,1,"intervention","ARTcoverageAdult",0
