indicator,intervention_year,scenario,median,lower_CI,upper_CI
NewAdultHIV,2025,percent_change,30.654423905539048,25.463146430231205,36.29406589605406
NewAdultHIV,2030,percent_change,31.624320511558448,26.398522962622163,37.14648157038933
NewAdultHIV,2035,percent_change,31.9468639845336,26.508968807406873,37.815835592030425
NewAdultHIV,2040,percent_change,32.0823924515695,26.487712688461986,38.3960239849726
NewAdultHIV,2045,percent_change,32.40443535370723,26.36598720018773,39.23387006504341
NewAdultHIV,2050,percent_change,33.25377480706858,26.94534388089211,40.42060932550087
TotalAIDSdeathsadult,2025,percent_change,27.274331649568285,22.264610252144614,31.957637330168698
TotalAIDSdeathsadult,2030,percent_change,24.10646530629489,19.814567600484633,28.13312196237509
TotalAIDSdeathsadult,2035,percent_change,21.503659444734634,17.784827553017298,24.974336086392885
TotalAIDSdeathsadult,2040,percent_change,19.515908063082534,16.095089121991375,22.784824039038476
TotalAIDSdeathsadult,2045,percent_change,18.12112727254576,14.896860935174251,21.207069336585338
TotalAIDSdeathsadult,2050,percent_change,17.16461213937054,14.09268350781096,20.220254307066433
LYlostAIDS,2025,percent_change,37.408909549804704,31.310337820770357,42.92046026191246
LYlostAIDS,2030,percent_change,35.04620837878997,29.41624942019801,40.04812546921937
LYlostAIDS,2035,percent_change,32.85276095648121,27.557812692251705,37.5949836537142
LYlostAIDS,2040,percent_change,31.162397392116596,26.25690149659262,35.788575511053075
LYlostAIDS,2045,percent_change,30.227781295588002,25.258308684285314,34.87905382901569
LYlostAIDS,2050,percent_change,29.721282871350112,25.024733772196605,34.672427729367335
